account,transaction_type_code,booking_amount,booking_datetime_utc,counterparty_iban,counterparty_name,crdt_dbit
8cb467ebb0c9ab36c2e8b16f641261da,po,10.62,2024-01-29 14:07:46,NLFAKEYSXS4593365850,9fd29e915875d3483d957a80b708be2e,crdt
567836a47eeccfa4a3bf07eb76555df3,pt,241.94,2023-05-10 19:56:14,NLFAKELPTK6013528475,91816c8c2cd84d5c749cadef5a7df89a,dbit
e8b94ce0426594b226e260d2fffc33f6,po,162.49,2023-04-23 22:05:01,NLFAKEGDAF5939009823,cf2d659764891c71be7573f6b9acbf92,crdt
57f5f510b4ca6d69fac0e18ab2d38313,pt,552.06,2023-10-26 12:58:47,NLFAKESQCM9853487776,2b885cd569a8d69e217fd773bcb87b9d,crdt
e23fe9638bfa32c3c8eddc856c77443f,pt,321.83,2024-04-03 01:55:07,NLFAKEBOMU3100767392,48c2ba56a207ad4041b3d2e7b6d2ca6a,dbit
ca2165043982b9858ee295ea0d988a5c,po,59.72,2023-10-20 10:20:16,NLFAKEXNKL7623690690,525de8b9b2cf9bdbb987d9ceafe9ccf2,dbit
578695eedaac9c57c142db54219dc770,po,539.3,2023-12-27 11:12:45,NLFAKEOFSC4741099780,f71bc9103fbe23fc95ce66f8bc5fc968,crdt
42c71785f038ba369666a92c09d31bd2,po,293.98,2023-02-27 12:14:00,NLFAKEMPKW9433475864,ae5902e603831d01b1b4a7d184ebd92d,crdt
1a4ea81e498336fdde9fb7b597ed0c31,rf,346.25,2023-07-29 19:08:14,NLFAKEEBBU7230384651,43536d169d10da2cecb02a8c41536cc4,dbit
e00dc6adc12d7dd2b9f025528ed8865a,pt,95.79,2023-10-23 08:58:26,DEFAKE870725082009428691,16653928d890bf17c1223772b93bda99,crdt
b1c7d91506ee7b6b9e8c0823687c5153,po,126.98,2023-05-09 06:12:19,NLFAKEMBPS1700864438,0c6db1b45d001cd29f2f79b1da90c400,crdt
38056a07073502066e6bf48fa8a05f77,po,902.91,2024-02-26 07:53:29,NLFAKECMLM8367171134,b2fec559979bfb15c97367d1971774a3,crdt
a5c5bab23bdf75098d33eff2a94cceb6,po,712.55,2024-03-25 15:46:18,NLFAKEWLDW7032196027,09c51da28e689926c8df8596ec718174,dbit
32fac876648c4c3c29bef7fd7effb733,po,735.0,2023-09-27 08:01:08,NLFAKEKBJK7705055866,45dab4ec69bdf2c15cf7b5c307b348ab,crdt
b7ba520f5e69c87cc1631ed61a74d4ce,pt,10.78,2023-12-01 13:25:53,NLFAKEPFFC4645135486,07fbf9ba52e1f8d2f685a6421c610ea8,dbit
3e9b4184fbfc60afaf2acedbbf1f7d8c,pt,308.41,2024-01-20 17:31:15,NLFAKEYAPJ0323111474,513b47644939b28fee00b21888e0ec3b,crdt
b2a62a532371ab77518fbe7c45f5efc6,po,29.6,2023-06-30 05:33:13,NLFAKEWSRD4372729053,767afc6f2b94d1bc52b17666bad08976,crdt
7e17ccd258ca76012495c2b408a84cd9,po,531.24,2023-09-26 08:22:44,NLFAKEHPOE3034068007,544a5febed7c20450a5f56e6e3a5cf75,crdt
c3f052de49d99ab26cbf5d42b89f1901,po,582.71,2024-01-19 10:35:14,NLFAKEJGGO6741616260,b3c2bcb4062f597d9a71f6650d8ffe99,dbit
